Configuration,Disabled,Accuracy,FPR,FDR,Replay,Latency(ms),Evidence,RiskDet,RevocComp,HashChain,Ledger,RIS,Verdict
baseline_full_LDREA,—,0.956,0.519,0.036,1.000,1.5830,1.000,0.481,1.000,1.000,1.000,1.000,BASELINE (full L-DREA)
remove_PE,PE,0.982,1.000,0.000,1.000,0.6102,1.000,0.000,1.000,1.000,1.000,0.833,SECURITY-DEGRADED (authorization/enforcement weakened)
remove_RV,RV,0.956,0.519,0.036,1.000,1.3939,1.000,0.481,0.000,1.000,1.000,0.833,SECURITY-DEGRADED (authorization/enforcement weakened)
remove_EQ,EQ,0.956,0.519,0.036,0.000,1.2592,0.000,0.481,1.000,n/a,n/a,0.333,AUDIT-DEGRADED (evidence/ledger integrity lost; authorization intact)
remove_LG,LG,0.956,0.519,0.036,0.000,1.5769,1.000,0.481,1.000,n/a,n/a,0.500,AUDIT-DEGRADED (evidence/ledger integrity lost; authorization intact)
remove_HC,HC,0.956,0.519,0.036,0.000,1.5960,1.000,0.481,1.000,0.014,0.000,0.502,AUDIT-DEGRADED (evidence/ledger integrity lost; authorization intact)
remove_PE+RV,PE+RV,0.982,1.000,0.000,1.000,0.3609,1.000,0.000,0.000,1.000,1.000,0.667,SECURITY-DEGRADED (authorization/enforcement weakened)
remove_EQ+PE,EQ+PE,0.982,1.000,0.000,0.000,0.3262,0.000,0.000,1.000,n/a,n/a,0.167,CRITICAL (security AND audit both degraded)
remove_LG+PE,LG+PE,0.982,1.000,0.000,0.000,0.7044,1.000,0.000,1.000,n/a,n/a,0.333,CRITICAL (security AND audit both degraded)
remove_HC+PE,HC+PE,0.982,1.000,0.000,0.000,0.7651,1.000,0.000,1.000,0.014,0.000,0.336,CRITICAL (security AND audit both degraded)
remove_EQ+RV,EQ+RV,0.956,0.519,0.036,0.000,0.9902,0.000,0.481,0.000,n/a,n/a,0.167,CRITICAL (security AND audit both degraded)
remove_LG+RV,LG+RV,0.956,0.519,0.036,0.000,1.3057,1.000,0.481,0.000,n/a,n/a,0.333,CRITICAL (security AND audit both degraded)
remove_HC+RV,HC+RV,0.956,0.519,0.036,0.000,1.3339,1.000,0.481,0.000,0.014,0.000,0.336,CRITICAL (security AND audit both degraded)
remove_EQ+LG,EQ+LG,0.956,0.519,0.036,0.000,1.2615,0.000,0.481,1.000,n/a,n/a,0.333,AUDIT-DEGRADED (evidence/ledger integrity lost; authorization intact)
remove_EQ+HC,EQ+HC,0.956,0.519,0.036,0.000,1.2598,0.000,0.481,1.000,n/a,n/a,0.333,AUDIT-DEGRADED (evidence/ledger integrity lost; authorization intact)
remove_HC+LG,HC+LG,0.956,0.519,0.036,0.000,1.5579,1.000,0.481,1.000,n/a,n/a,0.500,AUDIT-DEGRADED (evidence/ledger integrity lost; authorization intact)
remove_EQ+PE+RV,EQ+PE+RV,0.982,1.000,0.000,0.000,0.0640,0.000,0.000,0.000,n/a,n/a,0.000,CRITICAL (security AND audit both degraded)
remove_EQ+HC+LG,EQ+HC+LG,0.956,0.519,0.036,0.000,1.2836,0.000,0.481,1.000,n/a,n/a,0.333,AUDIT-DEGRADED (evidence/ledger integrity lost; authorization intact)
remove_EQ+HC+LG+PE+RV,EQ+HC+LG+PE+RV,0.982,1.000,0.000,0.000,0.0555,0.000,0.000,0.000,n/a,n/a,0.000,CRITICAL (security AND audit both degraded)
