config,metric,kind,n,mean,median,stdev,min,max,ci95_low,ci95_high,wilson_low,wilson_high,cohens_d,cohens_h,cliffs_delta,mann_whitney_U,p_value,significant,effect_size_interpretation,undefined_reason
baseline_full_LDREA,latency_ms,distributional,4500,1.5271577419999969,1.524146,0.13310390045668455,0.387,7.297625,1.5236048752888889,1.5313171598666668,,,0.0,,0.0,10125000.0,1.0,False,Cohen's d=0.0 (negligible); Cliff's delta=0.0 (negligible),
baseline_full_LDREA,runtime_overhead_ms,distributional,4500,0.0014085397777777787,0.001334,0.0004885109328652119,0.001125,0.022792,0.0013949942111111111,0.0014238276333333332,,,0.0,,0.0,10125000.0,1.0,False,Cohen's d=0.0 (negligible); Cliff's delta=0.0 (negligible),
baseline_full_LDREA,throughput_dec_per_s,distributional,4500,658.4644784745378,656.1051239119081,57.23066992454954,137.0308833353317,2583.9793281653747,656.9082852995956,660.2225240622448,,,0.0,,0.0,10125000.0,1.0,False,Cohen's d=0.0 (negligible); Cliff's delta=0.0 (negligible),
baseline_full_LDREA,blind_decision_accuracy,proportional,4500,0.956,1.0,0.20509509989270833,0.0,1.0,0.9502222222222222,0.962,0.9496086568735477,0.9616134715080781,,0.0,0.0,10125000.0,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
baseline_full_LDREA,undetected_risk_rate,proportional,79,0.5189873417721519,1.0,0.49963935078457095,0.0,1.0,0.4050632911392405,0.6329113924050633,0.4105110559940594,0.6257026954621209,,0.0,0.0,3120.5,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
baseline_full_LDREA,benign_flag_rate,proportional,4421,0.035512327527708665,0.0,0.18507080299516024,0.0,1.0,0.030536077810450125,0.040940963582899795,0.030447665585278238,0.041383486282794577,,0.0,0.0,9772620.5,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
baseline_full_LDREA,blind_risk_detection_recall,proportional,79,0.4810126582278481,0.0,0.49963935078457095,0.0,1.0,0.3670886075949367,0.5949367088607594,0.37429730453787924,0.5894889440059407,,0.0,0.0,3120.5,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
baseline_full_LDREA,replay_determinism,proportional,4500,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.999147070593888,0.9999999999999999,,0.0,0.0,10125000.0,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
baseline_full_LDREA,replay_integrity,proportional,4500,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.999147070593888,0.9999999999999999,,0.0,0.0,10125000.0,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
baseline_full_LDREA,evidence_completeness,proportional,4500,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.999147070593888,0.9999999999999999,,0.0,0.0,10125000.0,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
baseline_full_LDREA,predicate_pass_rate,proportional,45000,0.9954666666666667,1.0,0.06717724482458493,0.0,1.0,0.9948444444444444,0.9960444444444444,0.9948022869395206,0.9960464618456797,,0.0,0.0,1012500000.0,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
baseline_full_LDREA,revocation_compliance,proportional,215,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9824463845132672,1.0,,0.0,0.0,23112.5,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
baseline_full_LDREA,hash_chain_integrity,proportional,71,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9486720478031097,1.0,,0.0,0.0,2520.5,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
baseline_full_LDREA,blind_runtime_detection,composite,300,0.7233518199346824,0.7243098466607123,0.02770737471356742,0.6265343969856643,0.7836839610978323,0.6684087493283071,0.7756504524886878,,,,,0.0,45000.0,1.0,False,standardized bootstrap effect=0.0 (negligible); Cliff's delta=0.0 (negligible),
baseline_full_LDREA,predicate_coverage,composite,300,0.6746666666666641,0.7,0.06651983831075424,0.5,0.7,0.5,0.7,,,,,0.0,45000.0,1.0,False,standardized bootstrap effect=0.0 (negligible); Cliff's delta=0.0 (negligible),
baseline_full_LDREA,runtime_integrity_score,composite,300,0.9925446766413899,1.0,0.011604534527846813,0.933765573353674,1.0,0.9627457197209891,1.0,,,,,0.0,45000.0,1.0,False,standardized bootstrap effect=0.0 (negligible); Cliff's delta=0.0 (negligible),
baseline_full_LDREA,ledger_integrity,deterministic,,,,,,,,,,,,,,,,,,
remove_PE,latency_ms,distributional,4500,0.6284732664444439,0.604667,0.0754057931689919,0.591542,1.391833,0.6262248794944444,0.6306459781944445,,,-8.3069,,-0.999,10357.0,0.0,True,Cohen's d=-8.3069 (large); Cliff's delta=-0.999 (large),
remove_PE,runtime_overhead_ms,distributional,4500,0.0007454879999999885,0.000709,0.00022839081142832538,0.000625,0.011083,0.0007397935333333334,0.0007527537777777778,,,-1.7387,,-0.9937,63371.0,0.0,True,Cohen's d=-1.7387 (large); Cliff's delta=-0.9937 (large),
remove_PE,throughput_dec_per_s,distributional,4500,1607.3154417550584,1653.8028369333865,137.02224147655681,718.4770011919533,1690.497039939683,1603.3589038508114,1611.4211011016876,,,9.0356,,0.999,10357.0,0.0,True,Cohen's d=9.0356 (large); Cliff's delta=0.999 (large),
remove_PE,blind_decision_accuracy,proportional,4500,0.9824444444444445,1.0,0.13132919715239014,0.0,1.0,0.9786666666666667,0.9857833333333332,0.9781754796419792,0.9858904271399457,,0.1569,0.0264,9857250.0,0.0,True,Cohen's h=0.1569 (negligible); Cliff's delta=0.0264 (negligible),
remove_PE,undetected_risk_rate,proportional,79,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9536287883460772,1.0,,1.5328,0.481,1619.5,0.0,True,Cohen's h=1.5328 (large); Cliff's delta=0.481 (large),
remove_PE,benign_flag_rate,proportional,4421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008681573919527388,,-0.3792,-0.0355,9425572.0,0.0,True,Cohen's h=-0.3792 (small); Cliff's delta=-0.0355 (negligible),
remove_PE,blind_risk_detection_recall,proportional,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04637121165392266,,-1.5328,-0.481,1619.5,0.0,True,Cohen's h=-1.5328 (large); Cliff's delta=-0.481 (large),
remove_PE,replay_determinism,proportional,4500,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.999147070593888,0.9999999999999999,,0.0,0.0,10125000.0,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_PE,replay_integrity,proportional,4500,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.999147070593888,0.9999999999999999,,0.0,0.0,10125000.0,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_PE,evidence_completeness,proportional,4500,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.999147070593888,0.9999999999999999,,0.0,0.0,10125000.0,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_PE,predicate_pass_rate,proportional,0,,,,,,,,,,,,,,,,,"predicate_engine disabled: no predicate is evaluated, so coverage is 0 and the pass rate is vacuously 1 (nothing can fail)"
remove_PE,revocation_compliance,proportional,225,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9832134489943798,1.0,,0.0,0.0,24187.5,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_PE,hash_chain_integrity,proportional,71,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9486720478031097,1.0,,0.0,0.0,2520.5,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_PE,blind_runtime_detection,composite,300,0.5,0.5,0.0,0.5,0.5,0.5,0.5,,,,,-1.0,0.0,0.0,True,standardized bootstrap effect=-8.061096449722985 (large); Cliff's delta=-1.0 (large),
remove_PE,predicate_coverage,composite,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,-1.0,0.0,0.0,True,standardized bootstrap effect=-10.142337741635655 (large); Cliff's delta=-1.0 (large),"predicate_engine disabled: no predicate is evaluated, so coverage is 0 and the pass rate is vacuously 1 (nothing can fail)"
remove_PE,runtime_integrity_score,composite,300,0.833333333333337,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,,,,,-1.0,0.0,0.0,True,standardized bootstrap effect=-13.719752647209141 (large); Cliff's delta=-1.0 (large),
remove_PE,ledger_integrity,deterministic,,,,,,,,,,,,,,,,,,
remove_RV,latency_ms,distributional,4500,1.3175700506666672,1.26,0.2658434227669874,0.378625,14.373,1.3109427171777777,1.3266902922722221,,,-0.9969,,-0.771,2318930.0,0.0,True,Cohen's d=-0.9969 (large); Cliff's delta=-0.771 (large),
remove_RV,runtime_overhead_ms,distributional,4500,0.001527330444444454,0.001375,0.0006519634948248613,0.001125,0.016917,0.0015085427777777778,0.0015475693944444445,,,0.2062,,0.1357,8750891.0,0.0,True,Cohen's d=0.2062 (small); Cliff's delta=0.1357 (negligible),
remove_RV,throughput_dec_per_s,distributional,4500,771.2490583897127,793.6507936507936,85.3804911623849,69.57489737702637,2641.135688345989,768.6405731817537,773.736567057556,,,1.5516,,0.771,2318930.0,0.0,True,Cohen's d=1.5516 (large); Cliff's delta=0.771 (large),
remove_RV,blind_decision_accuracy,proportional,4500,0.956,1.0,0.20509509989270833,0.0,1.0,0.9502222222222222,0.962,0.9496086568735477,0.9616134715080781,,0.0,0.0,10125000.0,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_RV,undetected_risk_rate,proportional,79,0.5189873417721519,1.0,0.49963935078457095,0.0,1.0,0.4050632911392405,0.6329113924050633,0.4105110559940594,0.6257026954621209,,0.0,0.0,3120.5,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_RV,benign_flag_rate,proportional,4421,0.035512327527708665,0.0,0.18507080299516024,0.0,1.0,0.030536077810450125,0.040940963582899795,0.030447665585278238,0.041383486282794577,,0.0,0.0,9772620.5,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_RV,blind_risk_detection_recall,proportional,79,0.4810126582278481,0.0,0.49963935078457095,0.0,1.0,0.3670886075949367,0.5949367088607594,0.37429730453787924,0.5894889440059407,,0.0,0.0,3120.5,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_RV,replay_determinism,proportional,4500,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.999147070593888,0.9999999999999999,,0.0,0.0,10125000.0,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_RV,replay_integrity,proportional,4500,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.999147070593888,0.9999999999999999,,0.0,0.0,10125000.0,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_RV,evidence_completeness,proportional,4500,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.999147070593888,0.9999999999999999,,0.0,0.0,10125000.0,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_RV,predicate_pass_rate,proportional,45000,0.9954666666666667,1.0,0.06717724482458493,0.0,1.0,0.9948444444444444,0.9960444444444444,0.9948022869395206,0.9960464618456797,,0.0,0.0,1012500000.0,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_RV,revocation_compliance,proportional,215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017553615486732756,,-3.1416,-1.0,0.0,0.0,True,Cohen's h=-3.1416 (large); Cliff's delta=-1.0 (large),
remove_RV,hash_chain_integrity,proportional,71,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9486720478031097,1.0,,0.0,0.0,2520.5,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_RV,blind_runtime_detection,composite,300,0.7233518199346824,0.7243098466607123,0.02770737471356742,0.6265343969856643,0.7836839610978323,0.6684087493283071,0.7756504524886878,,,,,0.0,45000.0,1.0,False,standardized bootstrap effect=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_RV,predicate_coverage,composite,300,0.6746666666666641,0.7,0.06651983831075424,0.5,0.7,0.5,0.7,,,,,0.0,45000.0,1.0,False,standardized bootstrap effect=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_RV,runtime_integrity_score,composite,300,0.8258780099747245,0.8333333333333334,0.011604534527846827,0.7670989066870074,0.8333333333333334,0.7960790530543225,0.8333333333333334,,,,,-1.0,0.0,0.0,True,standardized bootstrap effect=None (large); Cliff's delta=-1.0 (large),
remove_RV,ledger_integrity,deterministic,,,,,,,,,,,,,,,,,,
remove_EQ,latency_ms,distributional,4500,1.2524024173333337,1.2308335000000001,0.18246854558168665,0.083208,6.003667,1.2468926107000002,1.2579900989166668,,,-1.7202,,-0.8957,1056116.5,0.0,True,Cohen's d=-1.7202 (large); Cliff's delta=-0.8957 (large),
remove_EQ,runtime_overhead_ms,distributional,4500,0.0014110906666666696,0.001292,0.001072601569912871,0.001083,0.057292,0.0013849915111111112,0.0014478954055555555,,,0.0031,,-0.2537,7556785.0,0.0,True,Cohen's d=0.0031 (negligible); Cliff's delta=-0.2537 (small),
remove_EQ,throughput_dec_per_s,distributional,4500,812.2115030468805,812.4575744811666,209.58847898032042,166.5648677716469,12018.075185078358,807.0513128308276,819.3930553372738,,,1.0007,,0.8957,1056116.5,0.0,True,Cohen's d=1.0007 (large); Cliff's delta=0.8957 (large),
remove_EQ,blind_decision_accuracy,proportional,4500,0.956,1.0,0.20509509989270833,0.0,1.0,0.9502222222222222,0.962,0.9496086568735477,0.9616134715080781,,0.0,0.0,10125000.0,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_EQ,undetected_risk_rate,proportional,79,0.5189873417721519,1.0,0.49963935078457095,0.0,1.0,0.4050632911392405,0.6329113924050633,0.4105110559940594,0.6257026954621209,,0.0,0.0,3120.5,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
