Dataset,Configuration,Authorization Accuracy,URR,BFR,Replay,Evidence,Latency(ms),Throughput(dec/s),Runtime Integrity Score,Verdict
UNSW-NB15,baseline_full_LDREA,0.755,0.339,0.126,1.000,1.000,0.4720,2117,1.000,BASELINE
UNSW-NB15,remove_PE,0.442,1.000,0.000,1.000,1.000,0.5867,1703,0.833,SECURITY-DEGRADED
UNSW-NB15,remove_RV,0.755,0.339,0.126,1.000,1.000,0.3185,3137,0.833,SECURITY-DEGRADED
UNSW-NB15,remove_EQ,0.755,0.339,0.126,0.000,0.000,0.1770,5640,0.333,AUDIT-DEGRADED
UNSW-NB15,remove_LG,0.755,0.339,0.126,0.000,1.000,0.4793,2085,0.500,AUDIT-DEGRADED
UNSW-NB15,remove_HC,0.755,0.339,0.126,0.000,1.000,0.4915,2033,0.501,AUDIT-DEGRADED
UNSW-NB15,remove_PE+RV,0.442,1.000,0.000,1.000,1.000,0.3072,3252,0.667,SECURITY-DEGRADED
UNSW-NB15,remove_EQ+PE,0.442,1.000,0.000,0.000,0.000,0.2980,3353,0.167,CRITICAL
UNSW-NB15,remove_LG+PE,0.442,1.000,0.000,0.000,1.000,0.5884,1699,0.333,CRITICAL
UNSW-NB15,remove_HC+PE,0.442,1.000,0.000,0.000,1.000,0.5744,1740,0.335,CRITICAL
UNSW-NB15,remove_EQ+RV,0.755,0.339,0.126,0.000,0.000,0.0241,41111,0.167,CRITICAL
UNSW-NB15,remove_LG+RV,0.755,0.339,0.126,0.000,1.000,0.3129,3193,0.333,CRITICAL
UNSW-NB15,remove_HC+RV,0.755,0.339,0.126,0.000,1.000,0.3196,3126,0.335,CRITICAL
UNSW-NB15,remove_EQ+LG,0.755,0.339,0.126,0.000,0.000,0.1897,5263,0.333,AUDIT-DEGRADED
UNSW-NB15,remove_EQ+HC,0.755,0.339,0.126,0.000,0.000,0.1793,5571,0.333,AUDIT-DEGRADED
UNSW-NB15,remove_HC+LG,0.755,0.339,0.126,0.000,1.000,0.4779,2091,0.500,AUDIT-DEGRADED
UNSW-NB15,remove_EQ+PE+RV,0.442,1.000,0.000,0.000,0.000,0.0212,46588,0.000,CRITICAL
UNSW-NB15,remove_EQ+HC+LG,0.755,0.339,0.126,0.000,0.000,0.1771,5638,0.333,AUDIT-DEGRADED
UNSW-NB15,remove_EQ+HC+LG+PE+RV,0.442,1.000,0.000,0.000,0.000,0.0218,45478,0.000,CRITICAL
ULB,baseline_full_LDREA,0.976,0.061,0.024,1.000,1.000,0.6334,1578,1.000,BASELINE
ULB,remove_PE,0.995,1.000,0.000,1.000,1.000,0.6287,1590,0.833,SECURITY-DEGRADED
ULB,remove_RV,0.976,0.061,0.024,1.000,1.000,0.5432,1838,0.833,SECURITY-DEGRADED
ULB,remove_EQ,0.976,0.061,0.024,0.000,0.000,0.3269,3056,0.333,AUDIT-DEGRADED
ULB,remove_LG,0.976,0.061,0.024,0.000,1.000,0.6609,1512,0.500,AUDIT-DEGRADED
ULB,remove_HC,0.976,0.061,0.024,0.000,1.000,0.6347,1575,0.501,AUDIT-DEGRADED
ULB,remove_PE+RV,0.995,1.000,0.000,1.000,1.000,0.4116,2426,0.667,SECURITY-DEGRADED
ULB,remove_EQ+PE,0.995,1.000,0.000,0.000,0.000,0.3301,3026,0.167,CRITICAL
ULB,remove_LG+PE,0.995,1.000,0.000,0.000,1.000,0.8257,1210,0.333,CRITICAL
ULB,remove_HC+PE,0.995,1.000,0.000,0.000,1.000,0.6222,1606,0.335,CRITICAL
ULB,remove_EQ+RV,0.976,0.061,0.024,0.000,0.000,0.0555,17948,0.167,CRITICAL
ULB,remove_LG+RV,0.976,0.061,0.024,0.000,1.000,0.3445,2901,0.333,CRITICAL
ULB,remove_HC+RV,0.976,0.061,0.024,0.000,1.000,0.3437,2907,0.335,CRITICAL
ULB,remove_EQ+LG,0.976,0.061,0.024,0.000,0.000,0.3087,3237,0.333,AUDIT-DEGRADED
ULB,remove_EQ+HC,0.976,0.061,0.024,0.000,0.000,0.3092,3231,0.333,AUDIT-DEGRADED
ULB,remove_HC+LG,0.976,0.061,0.024,0.000,1.000,0.6970,1434,0.500,AUDIT-DEGRADED
ULB,remove_EQ+PE+RV,0.995,1.000,0.000,0.000,0.000,0.0433,22989,0.000,CRITICAL
ULB,remove_EQ+HC+LG,0.976,0.061,0.024,0.000,0.000,0.3064,3261,0.333,AUDIT-DEGRADED
ULB,remove_EQ+HC+LG+PE+RV,0.995,1.000,0.000,0.000,0.000,0.0416,23930,0.000,CRITICAL
IEEE-CIS,baseline_full_LDREA,0.874,0.658,0.109,1.000,1.000,0.5776,1730,1.000,BASELINE
IEEE-CIS,remove_PE,0.970,1.000,0.000,1.000,1.000,0.5714,1749,0.833,SECURITY-DEGRADED
IEEE-CIS,remove_RV,0.874,0.658,0.109,1.000,1.000,0.3420,2921,0.833,SECURITY-DEGRADED
IEEE-CIS,remove_EQ,0.874,0.658,0.109,0.000,0.000,0.2855,3499,0.333,AUDIT-DEGRADED
IEEE-CIS,remove_LG,0.874,0.658,0.109,0.000,1.000,0.5914,1690,0.500,AUDIT-DEGRADED
IEEE-CIS,remove_HC,0.874,0.658,0.109,0.000,1.000,0.6001,1665,0.501,AUDIT-DEGRADED
IEEE-CIS,remove_PE+RV,0.970,1.000,0.000,1.000,1.000,0.3612,2765,0.667,SECURITY-DEGRADED
IEEE-CIS,remove_EQ+PE,0.970,1.000,0.000,0.000,0.000,0.3144,3177,0.167,CRITICAL
IEEE-CIS,remove_LG+PE,0.970,1.000,0.000,0.000,1.000,0.5663,1765,0.333,CRITICAL
IEEE-CIS,remove_HC+PE,0.970,1.000,0.000,0.000,1.000,0.5728,1745,0.335,CRITICAL
IEEE-CIS,remove_EQ+RV,0.874,0.658,0.109,0.000,0.000,0.0560,17767,0.167,CRITICAL
IEEE-CIS,remove_LG+RV,0.874,0.658,0.109,0.000,1.000,0.4642,2151,0.333,CRITICAL
IEEE-CIS,remove_HC+RV,0.874,0.658,0.109,0.000,1.000,0.3791,2634,0.335,CRITICAL
IEEE-CIS,remove_EQ+LG,0.874,0.658,0.109,0.000,0.000,0.2821,3541,0.333,AUDIT-DEGRADED
IEEE-CIS,remove_EQ+HC,0.874,0.658,0.109,0.000,0.000,0.3067,3257,0.333,AUDIT-DEGRADED
IEEE-CIS,remove_HC+LG,0.874,0.658,0.109,0.000,1.000,0.6782,1473,0.500,AUDIT-DEGRADED
IEEE-CIS,remove_EQ+PE+RV,0.970,1.000,0.000,0.000,0.000,0.0211,46905,0.000,CRITICAL
IEEE-CIS,remove_EQ+HC+LG,0.874,0.658,0.109,0.000,0.000,0.3185,3136,0.333,AUDIT-DEGRADED
IEEE-CIS,remove_EQ+HC+LG+PE+RV,0.970,1.000,0.000,0.000,0.000,0.0329,30012,0.000,CRITICAL
