threshold_scale,threshold_delta_pct,config,disabled,undetected_risk_rate,benign_flag_rate,replay_integrity,evidence_completeness,runtime_integrity_score,blind_risk_detection_recall,latency_mean_ms,throughput_decisions_per_s,verdict
0.8,-20,baseline_full_LDREA,—,0.46835443037974683,0.08550101786926034,1.0,1.0,1.0,0.5316455696202531,1.5024617162222227,665.3832738308969,BASELINE (full L-DREA)
0.8,-20,remove_PE,PE,1.0,0.0,1.0,1.0,0.833333,0.0,0.6093989768888888,1639.9799914277592,SECURITY-DEGRADED (authorization/enforcement weakened)
0.8,-20,remove_RV,RV,0.46835443037974683,0.08550101786926034,1.0,1.0,0.833333,0.5316455696202531,1.2578436862222235,794.7456070255106,SECURITY-DEGRADED (authorization/enforcement weakened)
0.8,-20,remove_EQ,EQ,0.46835443037974683,0.08550101786926034,0.0,0.0,0.333333,0.5316455696202531,1.1954053584444468,836.3036955819671,AUDIT-DEGRADED (evidence/ledger integrity lost; authorization intact)
0.8,-20,remove_LG,LG,0.46835443037974683,0.08550101786926034,0.0,1.0,0.5,0.5316455696202531,1.4973702237777773,667.6787769871811,AUDIT-DEGRADED (evidence/ledger integrity lost; authorization intact)
0.8,-20,remove_HC,HC,0.46835443037974683,0.08550101786926034,0.0,1.0,0.502347,0.5316455696202531,1.5046567986666706,664.415262672848,AUDIT-DEGRADED (evidence/ledger integrity lost; authorization intact)
0.9,-10,baseline_full_LDREA,—,0.4936708860759494,0.049310110834652796,1.0,1.0,1.0,0.5063291139240507,1.5117055993333333,661.3157446529518,BASELINE (full L-DREA)
0.9,-10,remove_PE,PE,1.0,0.0,1.0,1.0,0.833333,0.0,0.6108654368888894,1636.0335044348421,SECURITY-DEGRADED (authorization/enforcement weakened)
0.9,-10,remove_RV,RV,0.4936708860759494,0.049310110834652796,1.0,1.0,0.833333,0.5063291139240507,1.2564792222222267,795.614472743454,SECURITY-DEGRADED (authorization/enforcement weakened)
0.9,-10,remove_EQ,EQ,0.4936708860759494,0.049310110834652796,0.0,0.0,0.333333,0.5063291139240507,1.206060871777777,828.9163222327466,AUDIT-DEGRADED (evidence/ledger integrity lost; authorization intact)
0.9,-10,remove_LG,LG,0.4936708860759494,0.049310110834652796,0.0,1.0,0.5,0.5063291139240507,1.5071872557777801,663.3275494856168,AUDIT-DEGRADED (evidence/ledger integrity lost; authorization intact)
0.9,-10,remove_HC,HC,0.4936708860759494,0.049310110834652796,0.0,1.0,0.502347,0.5063291139240507,1.5111117446666673,661.5746369485124,AUDIT-DEGRADED (evidence/ledger integrity lost; authorization intact)
1.0,0,baseline_full_LDREA,—,0.5189873417721519,0.035512327527708665,1.0,1.0,1.0,0.4810126582278481,1.5128244928888914,660.829967529772,BASELINE (full L-DREA)
1.0,0,remove_PE,PE,1.0,0.0,1.0,1.0,0.833333,0.0,0.6116889273333327,1633.837030972727,SECURITY-DEGRADED (authorization/enforcement weakened)
1.0,0,remove_RV,RV,0.5189873417721519,0.035512327527708665,1.0,1.0,0.833333,0.4810126582278481,1.2769613328888867,782.8342540261505,SECURITY-DEGRADED (authorization/enforcement weakened)
1.0,0,remove_EQ,EQ,0.5189873417721519,0.035512327527708665,0.0,0.0,0.333333,0.4810126582278481,1.2340437282222212,810.0907726476964,AUDIT-DEGRADED (evidence/ledger integrity lost; authorization intact)
1.0,0,remove_LG,LG,0.5189873417721519,0.035512327527708665,0.0,1.0,0.5,0.4810126582278481,1.576423196888888,634.1507475496836,AUDIT-DEGRADED (evidence/ledger integrity lost; authorization intact)
1.0,0,remove_HC,HC,0.5189873417721519,0.035512327527708665,0.0,1.0,0.502347,0.4810126582278481,1.5854534526666653,630.5466577088806,AUDIT-DEGRADED (evidence/ledger integrity lost; authorization intact)
1.1,10,baseline_full_LDREA,—,0.5316455696202531,0.027143180275955667,1.0,1.0,1.0,0.46835443037974683,1.5448497595555544,647.1266843888081,BASELINE (full L-DREA)
1.1,10,remove_PE,PE,1.0,0.0,1.0,1.0,0.833333,0.0,0.6128968508888877,1630.6369875032497,SECURITY-DEGRADED (authorization/enforcement weakened)
1.1,10,remove_RV,RV,0.5316455696202531,0.027143180275955667,1.0,1.0,0.833333,0.46835443037974683,1.3049544579999952,766.036614704206,SECURITY-DEGRADED (authorization/enforcement weakened)
1.1,10,remove_EQ,EQ,0.5316455696202531,0.027143180275955667,0.0,0.0,0.333333,0.46835443037974683,1.2363451620000012,808.6067442029871,AUDIT-DEGRADED (evidence/ledger integrity lost; authorization intact)
1.1,10,remove_LG,LG,0.5316455696202531,0.027143180275955667,0.0,1.0,0.5,0.46835443037974683,1.5408545971111085,648.8318569736598,AUDIT-DEGRADED (evidence/ledger integrity lost; authorization intact)
1.1,10,remove_HC,HC,0.5316455696202531,0.027143180275955667,0.0,1.0,0.502347,0.46835443037974683,1.5208388637777752,657.3494523052084,AUDIT-DEGRADED (evidence/ledger integrity lost; authorization intact)
1.2,20,baseline_full_LDREA,—,0.5316455696202531,0.024881248586292693,1.0,1.0,1.0,0.46835443037974683,1.7275048091111125,578.6200285208253,BASELINE (full L-DREA)
1.2,20,remove_PE,PE,1.0,0.0,1.0,1.0,0.833333,0.0,0.6155454146666672,1623.5939225632349,SECURITY-DEGRADED (authorization/enforcement weakened)
1.2,20,remove_RV,RV,0.5316455696202531,0.024881248586292693,1.0,1.0,0.833333,0.46835443037974683,1.2900481822222218,774.8985950564625,SECURITY-DEGRADED (authorization/enforcement weakened)
1.2,20,remove_EQ,EQ,0.5316455696202531,0.024881248586292693,0.0,0.0,0.333333,0.46835443037974683,1.3075791697777779,764.4838472632624,AUDIT-DEGRADED (evidence/ledger integrity lost; authorization intact)
1.2,20,remove_LG,LG,0.5316455696202531,0.024881248586292693,0.0,1.0,0.5,0.46835443037974683,1.620548167777776,616.8736570321191,AUDIT-DEGRADED (evidence/ledger integrity lost; authorization intact)
1.2,20,remove_HC,HC,0.5316455696202531,0.024881248586292693,0.0,1.0,0.502347,0.46835443037974683,1.5285402773333319,654.0251873549671,AUDIT-DEGRADED (evidence/ledger integrity lost; authorization intact)
