config,risk_detection,revocation_compliance,evidence_completeness,ledger_integrity,hash_chain_integrity,replay_integrity,runtime_integrity_score
baseline_full_LDREA,1.0,1.0,1.0,1.0,1.0,1.0,1.0
remove_PE,0.0,1.0,1.0,1.0,1.0,1.0,0.833333
remove_RV,1.0,0.0,1.0,1.0,1.0,1.0,0.833333
remove_EQ,1.0,1.0,0.0,0.0,0.0,0.0,0.333333
remove_LG,1.0,1.0,1.0,0.0,0.0,0.0,0.5
remove_HC,1.0,1.0,1.0,0.0,0.014084507042253521,0.0,0.502347
remove_PE+RV,0.0,0.0,1.0,1.0,1.0,1.0,0.666667
remove_EQ+PE,0.0,1.0,0.0,0.0,0.0,0.0,0.166667
remove_LG+PE,0.0,1.0,1.0,0.0,0.0,0.0,0.333333
remove_HC+PE,0.0,1.0,1.0,0.0,0.014084507042253521,0.0,0.335681
remove_EQ+RV,1.0,0.0,0.0,0.0,0.0,0.0,0.166667
remove_LG+RV,1.0,0.0,1.0,0.0,0.0,0.0,0.333333
remove_HC+RV,1.0,0.0,1.0,0.0,0.014084507042253521,0.0,0.335681
remove_EQ+LG,1.0,1.0,0.0,0.0,0.0,0.0,0.333333
remove_EQ+HC,1.0,1.0,0.0,0.0,0.0,0.0,0.333333
remove_HC+LG,1.0,1.0,1.0,0.0,0.0,0.0,0.5
remove_EQ+PE+RV,0.0,0.0,0.0,0.0,0.0,0.0,0.0
remove_EQ+HC+LG,1.0,1.0,0.0,0.0,0.0,0.0,0.333333
remove_EQ+HC+LG+PE+RV,0.0,0.0,0.0,0.0,0.0,0.0,0.0
