config,metric,kind,n,mean,median,stdev,min,max,ci95_low,ci95_high,wilson_low,wilson_high,cohens_d,cohens_h,cliffs_delta,mann_whitney_U,p_value,significant,effect_size_interpretation,undefined_reason
baseline_full_LDREA,latency_ms,distributional,4500,0.8290417113333315,0.809979,0.0892740065723924,0.197125,3.972125,0.8265254415055554,0.8317851703111111,,,0.0,,0.0,10125000.0,1.0,False,Cohen's d=0.0 (negligible); Cliff's delta=0.0 (negligible),
baseline_full_LDREA,runtime_overhead_ms,distributional,4500,0.0007522624444444288,0.000709,0.00025996152751817,0.000583,0.013583,0.0007456297111111111,0.0007609135888888888,,,0.0,,0.0,10125000.0,1.0,False,Cohen's d=0.0 (negligible); Cliff's delta=0.0 (negligible),
baseline_full_LDREA,throughput_dec_per_s,distributional,4500,1217.4440357106987,1234.5999102102505,128.96995295346093,251.75441356956287,5072.92327203551,1213.7556170101072,1221.31984581311,,,0.0,,0.0,10125000.0,1.0,False,Cohen's d=0.0 (negligible); Cliff's delta=0.0 (negligible),
baseline_full_LDREA,blind_decision_accuracy,proportional,4500,0.956,1.0,0.20509509989270833,0.0,1.0,0.9502222222222222,0.962,0.9496086568735477,0.9616134715080781,,0.0,0.0,10125000.0,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
baseline_full_LDREA,undetected_risk_rate,proportional,79,0.5189873417721519,1.0,0.49963935078457095,0.0,1.0,0.4050632911392405,0.6329113924050633,0.4105110559940594,0.6257026954621209,,0.0,0.0,3120.5,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
baseline_full_LDREA,benign_flag_rate,proportional,4421,0.035512327527708665,0.0,0.18507080299516024,0.0,1.0,0.030536077810450125,0.040940963582899795,0.030447665585278238,0.041383486282794577,,0.0,0.0,9772620.5,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
baseline_full_LDREA,blind_risk_detection_recall,proportional,79,0.4810126582278481,0.0,0.49963935078457095,0.0,1.0,0.3670886075949367,0.5949367088607594,0.37429730453787924,0.5894889440059407,,0.0,0.0,3120.5,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
baseline_full_LDREA,replay_determinism,proportional,4500,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.999147070593888,0.9999999999999999,,0.0,0.0,10125000.0,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
baseline_full_LDREA,replay_integrity,proportional,4500,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.999147070593888,0.9999999999999999,,0.0,0.0,10125000.0,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
baseline_full_LDREA,evidence_completeness,proportional,4500,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.999147070593888,0.9999999999999999,,0.0,0.0,10125000.0,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
baseline_full_LDREA,predicate_pass_rate,proportional,45000,0.9954666666666667,1.0,0.06717724482458493,0.0,1.0,0.9948444444444444,0.9960444444444444,0.9948022869395206,0.9960464618456797,,0.0,0.0,1012500000.0,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
baseline_full_LDREA,revocation_compliance,proportional,215,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9824463845132672,1.0,,0.0,0.0,23112.5,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
baseline_full_LDREA,hash_chain_integrity,proportional,71,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9486720478031097,1.0,,0.0,0.0,2520.5,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
baseline_full_LDREA,blind_runtime_detection,composite,300,0.7233518199346824,0.7243098466607123,0.02770737471356742,0.6265343969856643,0.7836839610978323,0.6684087493283071,0.7756504524886878,,,,,0.0,45000.0,1.0,False,standardized bootstrap effect=0.0 (negligible); Cliff's delta=0.0 (negligible),
baseline_full_LDREA,predicate_coverage,composite,300,0.6746666666666641,0.7,0.06651983831075424,0.5,0.7,0.5,0.7,,,,,0.0,45000.0,1.0,False,standardized bootstrap effect=0.0 (negligible); Cliff's delta=0.0 (negligible),
baseline_full_LDREA,runtime_integrity_score,composite,300,0.9925446766413899,1.0,0.011604534527846813,0.933765573353674,1.0,0.9627457197209891,1.0,,,,,0.0,45000.0,1.0,False,standardized bootstrap effect=0.0 (negligible); Cliff's delta=0.0 (negligible),
baseline_full_LDREA,ledger_integrity,deterministic,,,,,,,,,,,,,,,,,,
remove_PE,latency_ms,distributional,4500,0.3611072459999994,0.345771,0.047056987839915215,0.314083,0.9845,0.3598003606333333,0.3625257098944445,,,-6.5567,,-0.9984,15905.5,0.0,True,Cohen's d=-6.5567 (large); Cliff's delta=-0.9984 (large),
remove_PE,runtime_overhead_ms,distributional,4500,0.0004263886666666527,0.000417,7.853510640613039e-05,0.000333,0.002792,0.00042412131111111106,0.00042870706666666667,,,-1.6968,,-0.9913,87871.5,0.0,True,Cohen's d=-1.6968 (large); Cliff's delta=-0.9913 (large),
remove_PE,throughput_dec_per_s,distributional,4500,2806.151689593638,2892.087548373343,291.73128464519823,1015.744032503809,3183.8717791157114,2797.3142395987356,2814.287872432585,,,7.0431,,0.9984,15905.5,0.0,True,Cohen's d=7.0431 (large); Cliff's delta=0.9984 (large),
remove_PE,blind_decision_accuracy,proportional,4500,0.9824444444444445,1.0,0.13132919715239014,0.0,1.0,0.9786666666666667,0.9857833333333332,0.9781754796419792,0.9858904271399457,,0.1569,0.0264,9857250.0,0.0,True,Cohen's h=0.1569 (negligible); Cliff's delta=0.0264 (negligible),
remove_PE,undetected_risk_rate,proportional,79,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9536287883460772,1.0,,1.5328,0.481,1619.5,0.0,True,Cohen's h=1.5328 (large); Cliff's delta=0.481 (large),
